"|","|__name","|__party","|__rank","|__title","|__thomas","|__bioguide","|__chamber"
"","Mark Sanford","majority","7","","01012","S000051",""
"","Steve Womack","majority","8","","01991","W000809",""
"","Dave Brat","majority","9","","02203","B001290",""
"","Glenn Grothman","majority","10","","02276","G000576",""
"","Gary J. Palmer","majority","11","","02221","P000609",""
"","Bruce Westerman","majority","12","","02224","W000821",""
"","James B. Renacci","majority","13","","02048","R000586",""
"","Bill Johnson","majority","14","","02046","J000292",""
"","Jason Smith","majority","15","","02191","S001195",""
"","Jason Lewis","majority","16","","","L000587",""
"","Jack Bergman","majority","17","","","B001301",""
"","John J. Faso","majority","18","","","F000464",""
"","Lloyd Smucker","majority","19","","","S001199",""
"","Matt Gaetz","majority","20","","","G000578",""
"","Jodey C. Arrington","majority","21","","","A000375",""
"","A. Drew Ferguson IV","majority","22","","","F000465",""
"","John A. Yarmuth","minority","1","Ranking Member","01853","Y000062",""
"","Barbara Lee","minority","2","","01501","L000551",""
"","Michelle Lujan Grisham","minority","3","","02146","L000580",""
"","Seth Moulton","minority","4","","02246","M001196",""
"","Hakeem S. Jeffries","minority","5","","02149","J000294",""
"","Brian Higgins","minority","6","","01794","H001038",""
"","Suzan K. DelBene","minority","7","","02096","D000617",""
"","Debbie Wasserman Schultz","minority","8","","01777","W000797",""
"","Brendan F. Boyle","minority","9","","02267","B001296",""
"","Ro Khanna","minority","10","","","K000389",""
"","Pramila Jayapal","minority","11","","","J000298",""
"","Salud O. Carbajal","minority","12","","","C001112",""
"","Sheila Jackson Lee","minority","13","","00588","J000032",""
"","Janice D. Schakowsky","minority","14","","01588","S001145",""
"HSED","Virginia Foxx","majority","1","Chair","01791","F000450",""
"","Joe Wilson","majority","2","Vice Chair","01688","W000795",""
"","Duncan Hunter","majority","3","","01909","H001048",""
"","David P. Roe","majority","4","","01954","R000582",""
"","Glenn Thompson","majority","5","","01952","T000467",""
"","Tim Walberg","majority","6","","01855","W000798",""
"","Brett Guthrie","majority","7","","01922","G000558",""
"","Todd Rokita","majority","8","","02017","R000592",""
"","Lou Barletta","majority","9","","02054","B001269",""
"","Luke Messer","majority","10","","02130","M001189",""
"","Bradley Byrne","majority","11","","02197","B001289",""
"","Dave Brat","majority","12","","02203","B001290",""
"","Glenn Grothman","majority","13","","02276","G000576",""
"","Elise M. Stefanik","majority","14","","02263","S001196",""
"","Rick W. Allen","majority","15","","02239","A000372",""
"","Jason Lewis","majority","16","","","L000587",""
"","Francis Rooney","majority","17","","","R000607",""
"","Paul Mitchell","majority","18","","","M001201",""
"","Thomas A. Garrett, Jr.","majority","19","","","G000580",""
"","Lloyd Smucker","majority","20","","","S001199",""
"","A. Drew Ferguson IV","majority","21","","","F000465",""
"","Ron Estes","majority","22","","","E000298",""
"","Karen C. Handel","majority","23","","","H001078",""
"","Robert C. ""Bobby"" Scott","minority","1","Ranking Member","01037","S000185",""
"","Susan A. Davis","minority","2","","01641","D000598",""
"","Raúl M. Grijalva","minority","3","","01708","G000551",""
"","Joe Courtney","minority","4","","01836","C001069",""
"","Marcia L. Fudge","minority","5","","01895","F000455",""
"","Jared Polis","minority","6","","01910","P000598",""
"","Gregorio Kilili Camacho Sablan","minority","7","","01962","S001177",""
"","Frederica S. Wilson","minority","8","","02004","W000808",""
"","Suzanne Bonamici","minority","9","","02092","B001278",""
"","Mark Takano","minority","10","","02110","T000472",""
"","Alma S. Adams","minority","11","","02201","A000370",""
"","Mark DeSaulnier","minority","12","","02227","D000623",""
"","Donald Norcross","minority","13","","02202","N000188",""
"","Lisa Blunt Rochester","minority","14","","","B001303",""
"","Raja Krishnamoorthi","minority","15","","","K000391",""
"","Carol Shea-Porter","minority","16","","01861","S001170",""
"","Adriano Espaillat","minority","17","","","E000297",""
"HSED02","Tim Walberg","majority","1","Chair","01855","W000798",""
"","Joe Wilson","majority","2","","01688","W000795",""
"","David P. Roe","majority","3","","01954","R000582",""
"","Todd Rokita","majority","4","","02017","R000592",""
"","Lou Barletta","majority","5","","02054","B001269",""
"","Rick W. Allen","majority","6","","02239","A000372",""
"","Jason Lewis","majority","7","","","L000587",""
"","Francis Rooney","majority","8","","","R000607",""
"","Paul Mitchell","majority","9","","","M001201",""
"","Lloyd Smucker","majority","10","","","S001199",""
"","A. Drew Ferguson IV","majority","11","","","F000465",""
"","Ron Estes","majority","12","","","E000298",""
"","Gregorio Kilili Camacho Sablan","minority","1","Ranking Member","01962","S001177",""
"","Frederica S. Wilson","minority","2","","02004","W000808",""
"","Donald Norcross","minority","3","","02202","N000188",""
"","Lisa Blunt Rochester","minority","4","","","B001303",""
"","Carol Shea-Porter","minority","5","","01861","S001170",""
"","Adriano Espaillat","minority","6","","","E000297",""
"","Joe Courtney","minority","7","","01836","C001069",""
"","Marcia L. Fudge","minority","8","","01895","F000455",""
"","Suzanne Bonamici","minority","9","","02092","B001278",""
"HSED10","Bradley Byrne","majority","1","Chair","02197","B001289",""
"","Joe Wilson","majority","2","","01688","W000795",""
"","Duncan Hunter","majority","3","","01909","H001048",""
"","Dave Brat","majority","4","","02203","B001290",""
"","Glenn Grothman","majority","5","","02276","G000576",""
"","Elise M. Stefanik","majority","6","","02263","S001196",""
"","Francis Rooney","majority","7","","","R000607",""
"","A. Drew Ferguson IV","majority","8","","","F000465",""
"","Karen C. Handel","majority","9","","","H001078",""
"","Mark Takano","minority","1","Ranking Member","02110","T000472",""
"","Raúl M. Grijalva","minority","2","","01708","G000551",""
"","Alma S. Adams","minority","3","","02201","A000370",""
"","Mark DeSaulnier","minority","4","","02227","D000623",""
"","Donald Norcross","minority","5","","02202","N000188",""
"","Raja Krishnamoorthi","minority","6","","","K000391",""
"","Carol Shea-Porter","minority","7","","01861","S001170",""
"HSED13","Brett Guthrie","majority","1","Chair","01922","G000558",""
"","Glenn Thompson","majority","2","","01952","T000467",""
"","Lou Barletta","majority","3","","02054","B001269",""
"","Luke Messer","majority","4","","02130","M001189",""
"","Bradley Byrne","majority","5","","02197","B001289",""
"","Glenn Grothman","majority","6","","02276","G000576",""
"","Elise M. Stefanik","majority","7","","02263","S001196",""
"","Rick W. Allen","majority","8","","02239","A000372",""
"","Jason Lewis","majority","9","","","L000587",""
"","Paul Mitchell","majority","10","","","M001201",""
"","Thomas A. Garrett, Jr.","majority","11","","","G000580",""
"","Lloyd Smucker","majority","12","","","S001199",""
"","Ron Estes","majority","13","","","E000298",""
"","Susan A. Davis","minority","1","Ranking Member","01641","D000598",""
"","Joe Courtney","minority","2","","01836","C001069",""
"","Alma S. Adams","minority","3","","02201","A000370",""
"","Mark DeSaulnier","minority","4","","02227","D000623",""
"","Raja Krishnamoorthi","minority","5","","","K000391",""
"","Jared Polis","minority","6","","01910","P000598",""
"","Gregorio Kilili Camacho Sablan","minority","7","","01962","S001177",""
"","Mark Takano","minority","8","","02110","T000472",""
"","Lisa Blunt Rochester","minority","9","","","B001303",""
"","Adriano Espaillat","minority","10","","","E000297",""
"HSED14","Todd Rokita","majority","1","Chair","02017","R000592",""
"","Duncan Hunter","majority","2","","01909","H001048",""
"","David P. Roe","majority","3","","01954","R000582",""
"","Glenn Thompson","majority","4","","01952","T000467",""
"","Luke Messer","majority","5","","02130","M001189",""
"","Dave Brat","majority","6","","02203","B001290",""
"","Thomas A. Garrett, Jr.","majority","7","","","G000580",""
"","Karen C. Handel","majority","8","","","H001078",""
"","Jared Polis","minority","1","Ranking Member","01910","P000598",""
"","Raúl M. Grijalva","minority","2","","01708","G000551",""
"","Marcia L. Fudge","minority","3","","01895","F000455",""
"","Suzanne Bonamici","minority","4","","02092","B001278",""
"","Susan A. Davis","minority","5","","01641","D000598",""
"","Frederica S. Wilson","minority","6","","02004","W000808",""
"HSFA","Edward R. Royce","majority","1","Chair","00998","R000487",""
"","Christopher H. Smith","majority","2","","01071","S000522",""
"","Ileana Ros-Lehtinen","majority","3","","00985","R000435",""
"","Dana Rohrabacher","majority","4","","00979","R000409",""
"","Steve Chabot","majority","5","","00186","C000266",""
"","Joe Wilson","majority","6","","01688","W000795",""
"","Michael T. McCaul","majority","7","","01804","M001157",""
"","Ted Poe","majority","8","","01802","P000592",""
"","Darrell E. Issa","majority","9","","01640","I000056",""
"","Tom Marino","majority","10","","02053","M001179",""
"","Mo Brooks","majority","11","","01987","B001274",""
"","Paul Cook","majority","12","","02103","C001094",""
"","Scott Perry","majority","13","","02157","P000605",""
"","Ron DeSantis","majority","14","","02116","D000621",""
"","Mark Meadows","majority","15","","02142","M001187",""
"","Ted S. Yoho","majority","16","","02115","Y000065",""
"","Adam Kinzinger","majority","17","","02014","K000378",""
"","Lee M. Zeldin","majority","18","","02261","Z000017",""
"","Daniel M. Donovan, Jr.","majority","19","","02293","D000625",""
"","F. James Sensenbrenner, Jr.","majority","20","","01041","S000244",""
"","Ann Wagner","majority","21","","02137","W000812",""
"","Brian J. Mast","majority","22","","","M001199",""
"","Francis Rooney","majority","23","","","R000607",""
"","Brian K. Fitzpatrick","majority","24","","","F000466",""
"","Thomas A. Garrett, Jr.","majority","25","","","G000580",""
"","Eliot L. Engel","minority","1","Ranking Member","00344","E000179",""
"","Brad Sherman","minority","2","","01526","S000344",""
"","Gregory W. Meeks","minority","3","","01506","M001137",""
"","Albio Sires","minority","4","","01818","S001165",""
"","Gerald E. Connolly","minority","5","","01959","C001078",""
"","Theodore E. Deutch","minority","6","","01976","D000610",""
"","Karen Bass","minority","7","","01996","B001270",""
"","William R. Keating","minority","8","","02025","K000375",""
"","David N. Cicilline","minority","9","","02055","C001084",""
"","Ami Bera","minority","10","","02102","B001287",""
"","Lois Frankel","minority","11","","02119","F000462",""
"","Tulsi Gabbard","minority","12","","02122","G000571",""
"","Joaquin Castro","minority","13","","02163","C001091",""
"","Robin L. Kelly","minority","14","","02190","K000385",""
"","Brendan F. Boyle","minority","15","","02267","B001296",""
"","Dina Titus","minority","16","","01940","T000468",""
"","Norma J. Torres","minority","17","","02231","T000474",""
"","Bradley Scott Schneider","minority","18","","02124","S001190",""
"","Thomas R. Suozzi","minority","19","","","S001201",""
"","Adriano Espaillat","minority","20","","","E000297",""
"","Ted Lieu","minority","21","","02230","L000582",""
"HSFA05","Ted S. Yoho","majority","1","Chair","02115","Y000065",""
"","Dana Rohrabacher","majority","2","","00979","R000409",""
"","Steve Chabot","majority","3","","00186","C000266",""
"","Tom Marino","majority","4","","02053","M001179",""
"","Mo Brooks","majority","5","","01987","B001274",""
"","Scott Perry","majority","6","","02157","P000605",""
"","Adam Kinzinger","majority","7","","02014","K000378",""
"","Ann Wagner","majority","8","","02137","W000812",""
"","Brad Sherman","minority","1","Ranking Member","01526","S000344",""
"","Ami Bera","minority","2","","02102","B001287",""
"","Dina Titus","minority","3","","01940","T000468",""
"","Gerald E. Connolly","minority","4","","01959","C001078",""
"","Theodore E. Deutch","minority","5","","01976","D000610",""
"","Tulsi Gabbard","minority","6","","02122","G000571",""
"HSFA07","Christopher H. Smith","majority","2","","01071","S000522",""
"","Ileana Ros-Lehtinen","majority","3","","00985","R000435",""
"","Michael T. McCaul","majority","4","","01804","M001157",""
"","Mo Brooks","majority","5","","01987","B001274",""
"","Ron DeSantis","majority","6","","02116","D000621",""
"","Ted S. Yoho","majority","7","","02115","Y000065",""
"","Francis Rooney","majority","8","","","R000607",""
"","Albio Sires","minority","1","Ranking Member","01818","S001165",""
"","Joaquin Castro","minority","2","","02163","C001091",""
"","Robin L. Kelly","minority","3","","02190","K000385",""
"","Norma J. Torres","minority","4","","02231","T000474",""
"","Adriano Espaillat","minority","5","","","E000297",""
"","Gregory W. Meeks","minority","6","","01506","M001137",""
"HSFA13","Ileana Ros-Lehtinen","majority","1","Chair","00985","R000435",""
"","Steve Chabot","majority","2","","00186","C000266",""
"","Darrell E. Issa","majority","3","","01640","I000056",""
"","Ron DeSantis","majority","4","","02116","D000621",""
"","Mark Meadows","majority","5","","02142","M001187",""
"","Paul Cook","majority","6","","02103","C001094",""
"","Adam Kinzinger","majority","7","","02014","K000378",""
"","Lee M. Zeldin","majority","8","","02261","Z000017",""
"","Daniel M. Donovan, Jr.","majority","9","","02293","D000625",""
"","Ann Wagner","majority","10","","02137","W000812",""
"","Brian J. Mast","majority","11","","","M001199",""
"","Brian K. Fitzpatrick","majority","12","","","F000466",""
"","Theodore E. Deutch","minority","1","Ranking Member","01976","D000610",""
"","Gerald E. Connolly","minority","2","","01959","C001078",""
"","David N. Cicilline","minority","3","","02055","C001084",""
"","Lois Frankel","minority","4","","02119","F000462",""
"","Brendan F. Boyle","minority","5","","02267","B001296",""
"","Tulsi Gabbard","minority","6","","02122","G000571",""
"","Bradley Scott Schneider","minority","7","","02124","S001190",""
"","Thomas R. Suozzi","minority","8","","","S001201",""
"","Ted Lieu","minority","9","","02230","L000582",""
"HSFA14","Dana Rohrabacher","majority","1","Chair","00979","R000409",""
"","Joe Wilson","majority","2","","01688","W000795",""
"","Ted Poe","majority","3","","01802","P000592",""
"","Tom Marino","majority","4","","02053","M001179",""
"","F. James Sensenbrenner, Jr.","majority","5","","01041","S000244",""
"","Francis Rooney","majority","6","","","R000607",""
"","Brian K. Fitzpatrick","majority","7","","","F000466",""
"","Gregory W. Meeks","minority","1","Ranking Member","01506","M001137",""
"","Brad Sherman","minority","2","","01526","S000344",""
"","Albio Sires","minority","3","","01818","S001165",""
"","William R. Keating","minority","4","","02025","K000375",""
"","David N. Cicilline","minority","5","","02055","C001084",""
"","Robin L. Kelly","minority","6","","02190","K000385",""
"HSFA16","Christopher H. Smith","majority","1","Chair","01071","S000522",""
"","Mark Meadows","majority","2","","02142","M001187",""
"","Daniel M. Donovan, Jr.","majority","3","","02293","D000625",""
"","F. James Sensenbrenner, Jr.","majority","4","","01041","S000244",""
"","Thomas A. Garrett, Jr.","majority","5","","","G000580",""
"","Karen Bass","minority","1","Ranking Member","01996","B001270",""
"","Ami Bera","minority","2","","02102","B001287",""
"","Joaquin Castro","minority","3","","02163","C001091",""
"","Thomas R. Suozzi","minority","4","","","S001201",""
"HSFA18","Ted Poe","majority","1","Chair","01802","P000592",""
"","Joe Wilson","majority","2","","01688","W000795",""
"","Darrell E. Issa","majority","3","","01640","I000056",""
"","Paul Cook","majority","4","","02103","C001094",""
"","Scott Perry","majority","5","","02157","P000605",""
"","Lee M. Zeldin","majority","6","","02261","Z000017",""
"","Brian J. Mast","majority","7","","","M001199",""
"","Thomas A. Garrett, Jr.","majority","8","","","G000580",""
"","William R. Keating","minority","1","Ranking Member","02025","K000375",""
"","Lois Frankel","minority","2","","02119","F000462",""
"","Brendan F. Boyle","minority","3","","02267","B001296",""
"","Dina Titus","minority","4","","01940","T000468",""
"","Norma J. Torres","minority","5","","02231","T000474",""
"","Bradley Scott Schneider","minority","6","","02124","S001190",""
"HSGO","Trey Gowdy","majority","1","Chair","02058","G000566",""
"","John J. Duncan, Jr.","majority","2","","00322","D000533",""
"","Darrell E. Issa","majority","3","","01640","I000056",""
"","Jim Jordan","majority","4","","01868","J000289",""
"","Mark Sanford","majority","5","","01012","S000051",""
"","Justin Amash","majority","6","","02029","A000367",""
"","Paul A. Gosar","majority","7","","01992","G000565",""
"","Scott DesJarlais","majority","8","","02062","D000616",""
"","Blake Farenthold","majority","9","","02067","F000460",""
"","Virginia Foxx","majority","10","","01791","F000450",""
"","Thomas Massie","majority","11","","02094","M001184",""
"","Mark Meadows","majority","12","","02142","M001187",""
"","Ron DeSantis","majority","13","","02116","D000621",""
"","Dennis A. Ross","majority","14","","02003","R000593",""
"","Mark Walker","majority","15","","02255","W000819",""
"","Rod Blum","majority","16","","02241","B001294",""
"","Jody B. Hice","majority","17","","02237","H001071",""
"","Steve Russell","majority","18","","02265","R000604",""
"","Glenn Grothman","majority","19","","02276","G000576",""
"","Will Hurd","majority","20","","02269","H001073",""
"","Gary J. Palmer","majority","21","","02221","P000609",""
"","James Comer","majority","22","","","C001108",""
"","Paul Mitchell","majority","23","","","M001201",""
"","Greg Gianforte","majority","24","","","G000584",""
"","Elijah E. Cummings","minority","1","Ranking Member","00256","C000984",""
"","Carolyn B. Maloney","minority","2","","00729","M000087",""
"","Eleanor Holmes Norton","minority","3","","00868","N000147",""
"","Wm. Lacy Clay","minority","4","","01654","C001049",""
"","Stephen F. Lynch","minority","5","","01686","L000562",""
"","Jim Cooper","minority","6","","00231","C000754",""
"","Gerald E. Connolly","minority","7","","01959","C001078",""
"","Robin L. Kelly","minority","8","","02190","K000385",""
"","Brenda L. Lawrence","minority","9","","02252","L000581",""
"","Bonnie Watson Coleman","minority","10","","02259","W000822",""
"","Stacey E. Plaskett","minority","11","","02274","P000610",""
"","Val Butler Demings","minority","12","","","D000627",""
"","Raja Krishnamoorthi","minority","13","","","K000391",""
"","Jamie Raskin","minority","14","","","R000606",""
"","Peter Welch","minority","15","","01879","W000800",""
"","Matt Cartwright","minority","16","","02159","C001090",""
"","Mark DeSaulnier","minority","17","","02227","D000623",""
"","Jimmy Gomez","minority","18","","","G000585",""
"HSGO06","Ron DeSantis","majority","1","Chair","02116","D000621",""
"","Steve Russell","majority","2","Vice Chair","02265","R000604",""
"","John J. Duncan, Jr.","majority","3","","00322","D000533",""
"","Justin Amash","majority","4","","02029","A000367",""
"","Paul A. Gosar","majority","5","","01992","G000565",""
"","Virginia Foxx","majority","6","","01791","F000450",""
"","Jody B. Hice","majority","7","","02237","H001071",""
"","James Comer","majority","8","","","C001108",""
"","Stephen F. Lynch","minority","1","Ranking Member","01686","L000562",""
"","Val Butler Demings","minority","2","","","D000627",""
"","Peter Welch","minority","3","","01879","W000800",""
"","Mark DeSaulnier","minority","4","","02227","D000623",""
"","Jimmy Gomez","minority","5","","","G000585",""
"HSGO24","Mark Meadows","majority","1","Chair","02142","M001187",""
"","Jody B. Hice","majority","2","Vice Chair","02237","H001071",""
"","Jim Jordan","majority","3","","01868","J000289",""
"","Mark Sanford","majority","4","","01012","S000051",""
"","Thomas Massie","majority","5","","02094","M001184",""
"","Ron DeSantis","majority","6","","02116","D000621",""
"","Dennis A. Ross","majority","7","","02003","R000593",""
"","Rod Blum","majority","8","","02241","B001294",""
"","Gerald E. Connolly","minority","1","Ranking Member","01959","C001078",""
"","Carolyn B. Maloney","minority","2","","00729","M000087",""
"","Eleanor Holmes Norton","minority","3","","00868","N000147",""
"","Wm. Lacy Clay","minority","4","","01654","C001049",""
"","Brenda L. Lawrence","minority","5","","02252","L000581",""
"","Bonnie Watson Coleman","minority","6","","02259","W000822",""
"HSGO25","Will Hurd","majority","1","Chair","02269","H001073",""
"","Paul Mitchell","majority","2","Vice Chair","","M001201",""
"","Darrell E. Issa","majority","3","","01640","I000056",""
"","Justin Amash","majority","4","","02029","A000367",""
"","Blake Farenthold","majority","5","","02067","F000460",""
"","Steve Russell","majority","6","","02265","R000604",""
"","Greg Gianforte","majority","7","","","G000584",""
"","Robin L. Kelly","minority","1","Ranking Member","02190","K000385",""
"","Jamie Raskin","minority","2","","","R000606",""
"","Stephen F. Lynch","minority","3","","01686","L000562",""
"","Gerald E. Connolly","minority","4","","01959","C001078",""
"","Raja Krishnamoorthi","minority","5","","","K000391",""
"HSGO27","Jim Jordan","majority","1","Chair","01868","J000289",""
"","Mark Walker","majority","2","Vice Chair","02255","W000819",""
"","Darrell E. Issa","majority","3","","01640","I000056",""
"","Mark Sanford","majority","4","","01012","S000051",""
"","Scott DesJarlais","majority","5","","02062","D000616",""
"","Mark Meadows","majority","6","","02142","M001187",""
"","Glenn Grothman","majority","7","","02276","G000576",""
"","Paul Mitchell","majority","8","","","M001201",""
"","Raja Krishnamoorthi","minority","1","Ranking Member","","K000391",""
"","Jim Cooper","minority","2","","00231","C000754",""
"","Eleanor Holmes Norton","minority","3","","00868","N000147",""
"","Robin L. Kelly","minority","4","","02190","K000385",""
"","Bonnie Watson Coleman","minority","5","","02259","W000822",""
"","Stacey E. Plaskett","minority","6","","02274","P000610",""
"HSGO28","Blake Farenthold","majority","1","Chair","02067","F000460",""
"","Paul A. Gosar","majority","2","Vice Chair","01992","G000565",""
"","Dennis A. Ross","majority","3","","02003","R000593",""
"","Gary J. Palmer","majority","4","","02221","P000609",""
"","James Comer","majority","5","","","C001108",""
"","Greg Gianforte","majority","6","","","G000584",""
"","Stacey E. Plaskett","minority","1","Ranking Member","02274","P000610",""
"","Jamie Raskin","minority","2","","","R000606",""
"","Jimmy Gomez","minority","3","","","G000585",""
"HSGO29","Gary J. Palmer","majority","1","Chair","02221","P000609",""
"","Glenn Grothman","majority","2","Vice Chair","02276","G000576",""
"","John J. Duncan, Jr.","majority","3","","00322","D000533",""
"","Virginia Foxx","majority","4","","01791","F000450",""
"","Thomas Massie","majority","5","","02094","M001184",""
"","Mark Walker","majority","6","","02255","W000819",""
"","Mark Sanford","majority","7","","01012","S000051",""
"","Val Butler Demings","minority","1","Ranking Member","","D000627",""
"","Mark DeSaulnier","minority","2","","02227","D000623",""
"","Matt Cartwright","minority","3","","02159","C001090",""
"","Wm. Lacy Clay","minority","4","","01654","C001049",""
"HSHA","Gregg Harper","majority","1","Chair","01933","H001045",""
"","Rodney Davis","majority","2","","02126","D000619",""
"","Barbara Comstock","majority","3","","02273","C001105",""
"","Mark Walker","majority","4","","02255","W000819",""
"","Adrian Smith","majority","5","","01860","S001172",""
"","Barry Loudermilk","majority","6","","02238","L000583",""
"","Robert A. Brady","minority","1","Ranking Member","01469","B001227",""
"","Zoe Lofgren","minority","2","","00701","L000397",""
"","Jamie Raskin","minority","3","","","R000606",""
"HSHM","Michael T. McCaul","majority","1","Chair","01804","M001157",""
"","Lamar Smith","majority","2","","01075","S000583",""
"","Peter T. King","majority","3","","00635","K000210",""
"","Mike Rogers","majority","4","","01704","R000575",""
"","Lou Barletta","majority","5","","02054","B001269",""
"","Scott Perry","majority","6","","02157","P000605",""
"","John Katko","majority","7","","02264","K000386",""
"","Will Hurd","majority","8","","02269","H001073",""
"","Martha McSally","majority","9","","02225","M001197",""
"","John Ratcliffe","majority","10","","02268","R000601",""
"","Daniel M. Donovan, Jr.","majority","11","","02293","D000625",""
"","Mike Gallagher","majority","12","","","G000579",""
"","Clay Higgins","majority","13","","","H001077",""
"","John H. Rutherford","majority","14","","","R000609",""
"","Thomas A. Garrett, Jr.","majority","15","","","G000580",""
"","Brian K. Fitzpatrick","majority","16","","","F000466",""
"","Ron Estes","majority","17","","","E000298",""
"","Bennie G. Thompson","minority","1","Ranking Member","01151","T000193",""
"","Sheila Jackson Lee","minority","2","","00588","J000032",""
"","James R. Langevin","minority","3","","01668","L000559",""
"","Cedric L. Richmond","minority","4","","02023","R000588",""
"","William R. Keating","minority","5","","02025","K000375",""
"","Donald M. Payne, Jr.","minority","6","","02097","P000604",""
"","Filemon Vela","minority","7","","02167","V000132",""
"","Bonnie Watson Coleman","minority","8","","02259","W000822",""
"","Kathleen M. Rice","minority","9","","02262","R000602",""
"","J. Luis Correa","minority","10","","","C001110",""
"","Val Butler Demings","minority","11","","","D000627",""
"","Nanette Diaz Barragán","minority","12","","","B001300",""
"HSHM05","Peter T. King","majority","1","Chair","00635","K000210",""
"","Lou Barletta","majority","2","","02054","B001269",""
"","Scott Perry","majority","3","","02157","P000605",""
"","Will Hurd","majority","4","","02269","H001073",""
"","Mike Gallagher","majority","5","","","G000579",""
"","Michael T. McCaul","majority","6","Ex Officio","01804","M001157",""
"","Kathleen M. Rice","minority","1","Ranking Member","02262","R000602",""
"","Sheila Jackson Lee","minority","2","","00588","J000032",""
"","William R. Keating","minority","3","","02025","K000375",""
"","Bennie G. Thompson","minority","4","Ex Officio","01151","T000193",""
"HSHM07","John Katko","majority","1","Chair","02264","K000386",""
"","Mike Rogers","majority","2","","01704","R000575",""
"","Clay Higgins","majority","3","","","H001077",""
"","Brian K. Fitzpatrick","majority","4","","","F000466",""
"","Ron Estes","majority","5","","","E000298",""
"","Michael T. McCaul","majority","6","Ex Officio","01804","M001157",""
"","Bonnie Watson Coleman","minority","1","Ranking Member","02259","W000822",""
"","William R. Keating","minority","2","","02025","K000375",""
"","Donald M. Payne, Jr.","minority","3","","02097","P000604",""
"","Bennie G. Thompson","minority","4","Ex Officio","01151","T000193",""
"HSHM08","John Ratcliffe","majority","1","Chair","02268","R000601",""
"","John Katko","majority","2","","02264","K000386",""
"","Daniel M. Donovan, Jr.","majority","3","","02293","D000625",""
"","Mike Gallagher","majority","4","","","G000579",""
"","Clay Higgins","majority","5","","","H001077",""
"","Thomas A. Garrett, Jr.","majority","6","","","G000580",""
"","Brian K. Fitzpatrick","majority","7","","","F000466",""
"","Michael T. McCaul","majority","8","Ex Officio","01804","M001157",""
"","Cedric L. Richmond","minority","1","Ranking Member","02023","R000588",""
"","Sheila Jackson Lee","minority","2","","00588","J000032",""
"","James R. Langevin","minority","3","","01668","L000559",""
"","Val Butler Demings","minority","4","","","D000627",""
"","Bennie G. Thompson","minority","5","Ex Officio","01151","T000193",""
"HSHM09","Scott Perry","majority","1","Chair","02157","P000605",""
"","John Ratcliffe","majority","2","","02268","R000601",""
"","Clay Higgins","majority","3","","","H001077",""
"","Ron Estes","majority","4","","","E000298",""
"","Michael T. McCaul","majority","6","Ex Officio","01804","M001157",""
"","J. Luis Correa","minority","1","Ranking Member","","C001110",""
"","Kathleen M. Rice","minority","2","","02262","R000602",""
"","Nanette Diaz Barragán","minority","3","","","B001300",""
"","Bennie G. Thompson","minority","4","Ex Officio","01151","T000193",""
"HSHM11","Martha McSally","majority","1","Chair","02225","M001197",""
"","Lamar Smith","majority","2","","01075","S000583",""
"","Mike Rogers","majority","3","","01704","R000575",""
"","Lou Barletta","majority","4","","02054","B001269",""
"","Will Hurd","majority","5","","02269","H001073",""
"","John H. Rutherford","majority","6","","","R000609",""
"","Michael T. McCaul","majority","8","Ex Officio","01804","M001157",""
"","Filemon Vela","minority","1","Ranking Member","02167","V000132",""
"","Cedric L. Richmond","minority","2","","02023","R000588",""
"","J. Luis Correa","minority","3","","","C001110",""
"","Val Butler Demings","minority","4","","","D000627",""
"","Nanette Diaz Barragán","minority","5","","","B001300",""
"","Bennie G. Thompson","minority","6","Ex Officio","01151","T000193",""
"HSHM12","Daniel M. Donovan, Jr.","majority","1","Chair","02293","D000625",""
"","Peter T. King","majority","2","","00635","K000210",""
"","Martha McSally","majority","3","","02225","M001197",""
"","John H. Rutherford","majority","4","","","R000609",""
"","Thomas A. Garrett, Jr.","majority","5","","","G000580",""
"","Michael T. McCaul","majority","6","Ex Officio","01804","M001157",""
"","Donald M. Payne, Jr.","minority","1","Ranking Member","02097","P000604",""
"","James R. Langevin","minority","2","","01668","L000559",""
"","Bonnie Watson Coleman","minority","3","","02259","W000822",""
"","Bennie G. Thompson","minority","4","Ex Officio","01151","T000193",""
"HSIF","Greg Walden","majority","1","Chair","01596","W000791",""
"","Joe Barton","majority","2","","00062","B000213",""
"","Fred Upton","majority","3","","01177","U000031",""
"","John Shimkus","majority","4","","01527","S000364",""
"","Michael C. Burgess","majority","5","","01751","B001248",""
"","Marsha Blackburn","majority","6","","01748","B001243",""
"","Steve Scalise","majority","7","","01892","S001176",""
"","Robert E. Latta","majority","8","","01885","L000566",""
"","Cathy McMorris Rodgers","majority","9","","01809","M001159",""
"","Gregg Harper","majority","10","","01933","H001045",""
"","Leonard Lance","majority","11","","01936","L000567",""
"","Brett Guthrie","majority","12","","01922","G000558",""
"","Pete Olson","majority","13","","01955","O000168",""
"","David B. McKinley","majority","14","","02074","M001180",""
"","Adam Kinzinger","majority","15","","02014","K000378",""
"","H. Morgan Griffith","majority","16","","02070","G000568",""
"","Gus M. Bilirakis","majority","17","","01838","B001257",""
"","Bill Johnson","majority","18","","02046","J000292",""
"","Billy Long","majority","19","","02033","L000576",""
"","Larry Bucshon","majority","20","","02018","B001275",""
"","Bill Flores","majority","21","","02065","F000461",""
